1537447955335,48965,x,y,z
5458,834,21,762,338
5478,844,14,773,338
5498,844,14,773,338
5518,830,33,757,336
5538,841,38,769,339
5559,861,25,793,334
5579,871,42,798,345
5599,891,20,816,357
5619,901,34,824,362
5639,931,17,852,373
5659,952,5,872,381
5679,990,11,903,405
5700,1002,27,914,408
5720,1028,11,938,418
5740,1029,16,941,415
5760,1032,14,947,410
5780,1049,16,963,416
5800,1066,19,976,428
5820,1092,18,1000,438
5841,1095,22,1005,436
5861,1112,10,1021,439
5881,1119,3,1029,439
5901,1150,6,1053,461
5921,1150,6,1053,461
5941,1169,-8,1068,476
5961,1183,-1,1082,480
5982,1179,9,1082,469
6002,1185,5,1086,474
6022,1169,12,1072,464
6042,1164,-3,1069,460
6062,1147,9,1056,447
6082,1147,9,1056,447
6102,1138,-3,1047,445
6123,1125,19,1036,438
6143,1109,10,1024,426
6163,1102,-6,1020,418
6183,1111,-11,1026,424
6203,1112,0,1025,431
6223,1113,-12,1022,442
6243,1106,-5,1017,436
6264,1104,-3,1019,424
6284,1094,-6,1014,411
6304,1111,-9,1030,417
6324,1102,3,1019,419
6344,1085,2,1002,416
6364,1078,-2,999,404
6384,1069,-8,993,393
6405,1069,-8,993,393
6425,1047,-4,971,390
6445,1043,-11,966,392
6465,1032,-4,959,382
6485,1030,-11,957,378
6505,1021,-13,951,373
6525,1013,-10,942,373
6546,996,-11,926,366
6566,984,-11,917,358
6586,984,-11,917,358
6606,979,-14,913,353
6626,973,-8,907,351
6646,954,-9,891,340
6666,942,-21,880,334
6687,925,-14,868,318
6707,916,-13,859,315
6727,899,-2,844,311
6747,879,-8,825,303
6767,860,-7,810,287
6787,838,-13,790,276
6807,825,-18,780,270
6828,817,-14,772,267
6848,808,-15,762,265
6868,788,-9,745,257
6888,773,-4,729,255
6908,788,-17,747,249
6928,784,-3,743,250
6948,799,-16,754,264
6968,792,-23,746,263
6989,772,-1,729,251
7009,758,-17,718,242
7029,761,-24,721,243
7049,769,-17,726,251
7069,777,-12,731,264
7089,777,-12,731,264
7109,763,-4,720,251
7130,767,-24,726,244
7150,771,-11,729,253
7170,759,-4,716,252
7190,755,-4,711,254
7210,758,3,714,255
7230,753,-3,709,252
7250,774,-5,728,263
7271,799,-4,749,277
7291,823,1,769,294
7311,851,2,792,310
7331,868,-6,807,320
7351,865,13,803,320
7371,909,-13,841,342
7391,954,3,885,356
7412,984,2,908,378
7432,1002,16,919,399
7452,961,27,884,377
7472,947,13,871,372
7492,949,12,876,365
7512,962,0,888,370
7532,972,10,891,389
7553,961,13,877,391
7573,934,6,853,382
7593,923,0,847,367
7613,930,3,855,366
7633,946,12,866,381
7653,947,22,862,390
7673,939,27,853,390
7694,936,24,855,379
7714,941,16,862,378
7734,944,14,861,385
7754,928,32,845,383
7774,916,26,830,386
7794,918,15,833,384
7814,911,23,831,373
7835,890,21,811,367
7855,872,25,791,367
7875,850,34,771,356
7895,847,33,770,351
7915,837,31,765,338
7935,836,31,761,345
7955,815,34,739,342
7976,789,40,714,334
7996,770,24,697,324
8016,751,21,684,309
8036,726,22,662,296
8056,722,38,652,307
8076,695,30,630,292
8096,675,40,614,279
